id,product_slug,universal_sku,name,brand,category_path,gtin_upc,description,specifications,images,status,source,catalog_metadata,created_at,updated_at
gpc-5f34ff3b-124e-4b3e-80f9-1e0ab620eefe,sports & fitness/demo-brand-water-bottle-holder--bike-c56876,VS-SPO-DEM-B799CD,Water Bottle Holder - Bike,Demo Brand,"{""Sports & Fitness"",""Sports & Outdoors"",""Fitness Equipment""}",,Universal water bottle holder for bicycles,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""OUTDOOR-WH-BK"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-e0ba1a2f-9031-44b9-9e61-7ebc59c507d0,electronics/demo-brand-wireless-bluetooth-headphones-3fe0ec,VS-ELE-DEM-DEB15D,Wireless Bluetooth Headphones,Demo Brand,"{Electronics,Audio,Headphones}",,Premium noise-canceling wireless headphones with 30-hour battery life,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""AUDIO-WH-001"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-efb6d8ab-3555-4b30-a8ce-f7b029b42bb6,office supplies/demo-brand-wireless-keyboard-&-mouse-combo-d45762,VS-OFF-DEM-3C16BA,Wireless Keyboard & Mouse Combo,Demo Brand,"{""Office Supplies"",""Writing Instruments"",Pens}",,Slim wireless keyboard and mouse combo,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""OFFICE-KM-WL"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-806705cd-8405-42b9-b717-107fc0b1b6f3,electronics/demo-brand-wireless-mouse--ergonomic-4a9e3c,VS-ELE-DEM-AFC6B8,Wireless Mouse - Ergonomic,Demo Brand,"{Electronics,Audio,Headphones}",,Comfortable ergonomic design with precision tracking,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""INPUT-MS-ERG"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-0355a35e-2078-4ece-b20b-2c4975d05e69,sports & fitness/demo-brand-yoga-mat--extra-thick-5aec33,VS-SPO-DEM-D45023,Yoga Mat - Extra Thick,Demo Brand,"{""Sports & Fitness"",""Sports & Outdoors"",""Fitness Equipment""}",,Non-slip yoga mat with carrying strap,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""SPORTS-YM-XTH"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-009b4504-cd58-456b-a198-e8a4884a6bcd,power-tools/dewalt-dewalt-dcd777c2-20v-max-lithium-ion-brushless-compact-drill-driver-c37762,VS-POW-DEW-335045,DeWalt DCD777C2 20V Max Lithium-Ion Brushless Compact Drill Driver,DeWalt,{power-tools},,The DeWalt DCD777C2 20V Max Lithium-Ion Brushless Compact Drill Driver is designed to fit into tight areas and provides a high-performance motor that delivers 340 unit watts out (UWO).,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-mxfzzffk/original-1766112543180.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766530641098"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-3ed1fea8-0e15-4bf4-b456-8ddb24b5c5cd,general/digital-consultant-digital-consultant-kit-a79601,VS-GEN-DIG-8CAD1A,Digital Consultant Kit,Digital Consultant,{},,Digital Consultant,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""ULCW-DIGI-LINK-PERS-546R"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-9013e59e-2d46-4428-ab23-fccea3a8e338,sports-outdoors/eagle-peak-trailblazer-lightweight-hiking-backpack--30l-e65304,VS-SPO-EAG-C2C496,Trailblazer Lightweight Hiking Backpack - 30L,Eagle Peak,{sports-outdoors},,"A lightweight, durable backpack designed for day hikes and outdoor adventures.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-lug2msna/original-1766436716307.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436571327"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-d9ab23ab-dec3-42fc-9373-ba5b7d8bf7b6,electrical/eaton-eaton-br-20-amp-single-pole-circuit-breaker-962783,VS-ELE-EAT-CD6113,Eaton BR 20 Amp Single Pole Circuit Breaker,Eaton,{electrical},,A reliable single pole circuit breaker designed for residential and commercial applications.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-0cuc4z27/original-1766112602043.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766530641101"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-4154b190-43bd-41a1-a192-502623286fd6,office-furniture/ergotech-ergoflex-mesh-office-chair-432839,VS-OFF-ERG-378690,ErgoFlex Mesh Office Chair,ErgoTech,{office-furniture},,A comfortable and adjustable mesh office chair designed for long hours of use.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-5b9jyhj2/original-1766530780553.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766530676993"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-973437d6-a674-4ccb-85c8-306bfeab2233,bedroom/everwood-serena-oak-queen-platform-bed-3fc5c6,VS-BED-EVE-34D434,Serena Oak Queen Platform Bed,Everwood,{bedroom},,A sleek and modern queen-sized platform bed crafted from high-quality oak.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-8pw3ctc0/original-1766530759616.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766530676992"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-1c1605a6-ded8-4a29-9883-f8adc9b511bf,"drawing-painting/faber-castell-faber-castell-polychromos-artists'-color-pencils,-tin-of-24-d020eb",VS-DRA-FAB-F8162C,"Faber-Castell Polychromos Artists' Color Pencils, Tin of 24",Faber-Castell,{drawing-painting},,"A tin of 24 premium quality Polychromos artists' color pencils, known for their unparalleled lightfastness and color brilliance.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/products/sid-c48mz81p/original-1766440366447.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766440209114"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-f9239d4e-846f-417b-9ce4-3d03aa6767e8,"drawing-painting/faber-castell-faber-castell-polychromos-artists#x27;-color-pencils,-tin-of-24-50d555",VS-DRA-FAB-CFC1EA,"Faber-Castell Polychromos Artists#x27; Color Pencils, Tin of 24",Faber-Castell,{drawing-painting},,"A tin of 24 premium quality Polychromos artists#x27; color pencils, known for their unparalleled lightfastness and color brilliance.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/products/sid-c48mz81p/original-1766440366447.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766440209114"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-lt2t1wzu""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-ad10fc20-48d0-4d6f-a525-5923902f3f89,sewing-fabric/fabricland-cotton-calico-fabric-bolt--5-yards-5d587a,VS-SEW-FAB-2E326C,Cotton Calico Fabric Bolt - 5 Yards,FabricLand,{sewing-fabric},,"High-quality, unbleached cotton calico fabric bolt, perfect for a variety of crafting and sewing projects.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/products/sid-dqnqesl8/original-1766440461459.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766440209119"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-004ad83e-ecea-4cf4-a775-c27b38786bb8,craft-supplies/feltastic-eco-friendly-multi-color-wool-felt-balls-50pcs-5d3067,VS-CRA-FEL-9D1543,Eco-Friendly Multi-Color Wool Felt Balls 50pcs,Feltastic,{craft-supplies},,"A pack of 50 vibrant, eco-friendly wool felt balls for crafting.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/products/sid-5xpfo6fd/original-1766440382999.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766440209115"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-cccd961f-00bb-4df5-9b8d-8939527cb599,craft-supplies/feltastic-eco-friendly-multi-color-wool-felt-balls-50pcs-alt-d9613d,VS-CRA-FEL-709204,Eco-Friendly Multi-Color Wool Felt Balls 50pcs Alt,Feltastic,{craft-supplies},,"A pack of 50 vibrant, eco-friendly wool felt balls for crafting.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/products/sid-5xpfo6fd/original-1766440382999.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""ULCW-PHYS-SHIP-PUBL-56KD"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-87c74c6c-b80f-4cce-b625-0317beaa7040,"skincare/fresh-vitamin-nectar-glow-face-mask,-100ml-a8f2d8",VS-SKI-FRE-5B5DB7,"Vitamin Nectar Glow Face Mask, 100ml",Fresh,{skincare},,An instant glow face mask powered by a concentrated blend of crushed citrus fruits.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-yrkd470n/products/iid-kd5betce/original-1765527012734.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766439434270"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-c340c078-3a56-402e-b398-90b8480b08fe,otc-medicine/generic-over-the-counter-medicine-item-1-45630a,VS-OTC-GEN-F282E2,Over-the-Counter Medicine Item 1,Generic,{otc-medicine},,Quality over-the-counter medicine product for everyday use.,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""3GYK-PHYS-SHIP-PUBL-6DXH"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-zcp9a56y""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-f8a6e612-f163-4703-9a84-504ca9ac3aae,"baby-care/gentlecare-gentlecare-hypoallergenic-baby-wipes,-80-count-b6d38c",VS-BAB-GEN-A52B81,"GentleCare Hypoallergenic Baby Wipes, 80 Count",GentleCare,{baby-care},,Soft and gentle hypoallergenic baby wipes for sensitive skin.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-ccu0mh28/products/sid-lm1jpw23/original-1765714753660.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""3GYK-PHYS-SHIP-PUBL-9MJR"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-zcp9a56y""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-bc4e9f9c-40e4-4099-906d-3c6a4daab9c2,"baby-care/gentlecare-gentlecare-hypoallergenic-baby-wipes,-80-ct-ed6124",VS-BAB-GEN-C179E6,"GentleCare Hypoallergenic Baby Wipes, 80 ct",GentleCare,{baby-care},,"Ultra-soft, hypoallergenic baby wipes for sensitive skin.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-c2r2kf8v/products/sid-5ms4g1ui/original-1766438615929.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""3GYK-PHYS-SHIP-PUBL-VT89"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-zcp9a56y""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-ce594a6f-a153-4a05-88f0-8ca49b8ce9aa,fragrance/giorgio-armani-acqua-di-gio-pour-homme-eau-de-toilette-50ml-f5d447,VS-FRA-GIO-0CCABD,Acqua di Gio Pour Homme Eau de Toilette 50ml,Giorgio Armani,{fragrance},,A fresh and aquatic fragrance that captures the warmth of the Mediterranean sea.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-yrkd470n/products/iid-ou6cp24q/original-1765527132520.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766439434276"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-f53e3d98-98a2-4285-8f04-0f250dffc081,makeup/giorgio-armani-luminous-silk-foundation-30ml-bbc260,VS-MAK-GIO-EFFF87,Luminous Silk Foundation 30ml,Giorgio Armani,{makeup},,"A lightweight liquid foundation that achieves a radiant, silky finish.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-yrkd470n/products/iid-qmwgpy1j/original-1765527075882.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766439434275"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-98c968b2-752f-4cdd-b564-03de24f113c7,meat-seafood/green-pastures-grass-fed-ground-beef-85/15-1lb-8318f5,VS-MEA-GRE-0B7077,Grass-Fed Ground Beef 85/15 1lb,Green Pastures,{meat-seafood},,"Lean and flavorful ground beef from grass-fed cows, ideal for healthier burgers and recipes.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-7u3g1stz/original-1765232691748.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436467815"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-fbf7b2d5-4240-4970-90f5-7a5f31dd06d9,home-garden/greenthumb-greenthumb-3-tier-wooden-plant-stand-2e9845,VS-HOM-GRE-DD439C,GreenThumb 3-Tier Wooden Plant Stand,GreenThumb,{home-garden},,A sturdy and stylish 3-tier wooden plant stand perfect for showcasing your indoor plants.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-jsc25fau/original-1765116034671.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436571322"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-ee4b77ca-5e72-4f58-bb4b-391ba9621a90,outdoor-furniture/harbour-outdoor-riviera-luxe-teak-sectional-sofa-b3df4f,VS-OUT-HAR-01D238,Riviera Luxe Teak Sectional Sofa,Harbour Outdoor,{outdoor-furniture},,A luxurious outdoor sectional sofa crafted from premium Grade A teak.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-uxripgbb/original-1766530798977.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766530676994"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-423d8274-790d-4036-b384-807f877d5311,books-media/harperone-the-alchemist-by-paulo-coelho-(paperback)-0b0d7d,VS-BOO-HAR-F22C14,The Alchemist by Paulo Coelho (Paperback),HarperOne,{books-media},,A special 25th anniversary edition of Paulo Coelho's extraordinary international bestselling phenomenon—the inspiring spiritual tale of self-discovery.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-05kwmoez/original-1766436751061.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436571331"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-69498c80-2a4d-45dc-ba39-8c962bc17160,"fasteners-hardware/hillman-stainless-steel-hex-nut-assortment,-150-piece-2f331f",VS-FAS-HIL-9C9707,"Stainless Steel Hex Nut Assortment, 150-Piece",Hillman,{fasteners-hardware},,A comprehensive set of high-quality stainless steel hex nuts for various fastening applications.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-4i3xryel/original-1766112556911.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766530641099"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-aec3ee01-c337-40a3-834e-d643115b2eaf,"mens-grooming/jack-black-jack-black-beard-oil,-1-fl-oz-c920c0",VS-MEN-JAC-2AD739,"Jack Black Beard Oil, 1 fl oz",Jack Black,{mens-grooming},,A blend of certified organic natural oils to nourish and protect your beard and skin.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-yrkd470n/products/iid-8e9spsu0/original-1765527170925.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766439434278"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-d083d6c2-f566-4c80-ae66-c8eb9c7a3c60,"first-aid/johnson-&-johnson-johnson-&-johnson-all-purpose-portable-first-aid-kit,-140-pieces-f494c4",VS-FIR-JOH-2191DF,"Johnson & Johnson All-Purpose Portable First Aid Kit, 140 Pieces",Johnson & Johnson,{first-aid},,"A comprehensive first aid kit designed for minor wounds, cuts, scrapes, and burns.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-ccu0mh28/products/sid-vyp9pajr/original-1765714713659.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""3GYK-PHYS-SHIP-PUBL-ZU2M"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-zcp9a56y""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-5796301f-6a11-4d1e-b5b1-10a988e726b7,haircare/kérastase-kérastase-nutritive-masque-magistral-200ml-49783c,VS-HAI-KÉR-768AA8,Kérastase Nutritive Masque Magistral 200ml,Kérastase,{haircare},,"Deeply nourishing hair mask for severely dried-out hair, providing essential nutrients for soft, silky, and supple hair.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-yrkd470n/products/iid-3orq5lnt/original-1765527052143.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766439434272"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-8af2365b-5676-4088-8023-5333b8546090,"dairy-eggs/land-o'lakes-unsalted-butter,-16-oz-0d01db",VS-DAI-LAN-3D7D95,"Unsalted Butter, 16 oz",Land O'Lakes,{dairy-eggs},,"A 16 oz block of high-quality, unsalted butter perfect for baking and cooking.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-jj3l1lud/original-1765232560457.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436467810"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-8d537ac2-7254-420e-a9f8-519af9f3db72,toys-games/laserx-galactic-quest-laser-tag-2-player-set-d389f0,VS-TOY-LAS-324756,Galactic Quest Laser Tag 2-Player Set,LaserX,{toys-games},,"A thrilling laser tag set for two players, perfect for dynamic indoor and outdoor play.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-6la5jgvm/original-1765116087133.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436571328"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-3438c674-7a8a-4826-a07f-c499946e9fff,womens-bottoms/levi's-gloria-high-waisted-skinny-jeans--size-6-44c911,VS-WOM-LEV-3BD0F2,Gloria High-Waisted Skinny Jeans - Size 6,Levi's,{womens-bottoms},,A sleek pair of high-waisted skinny jeans perfect for any occasion.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-ucgs9idl/products/iid-smhxq9hs/original-1765615359928.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1767098488108"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-3e5815b5-4b46-4c8a-aacd-5f1aca470469,toys-amp-games/levi's-levi#x27;s-511-slim-fit-jeans--men#x27;s-32x32-2fc70c,VS-TOY-LEV-C7E664,Levi#x27;s 511 Slim Fit Jeans - Men#x27;s 32x32,Levi's,{toys-amp-games},,"A modern slim with room to move, the 511 Slim Fit Jeans are a classic since right now.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-ucgs9idl/products/iid-4eosklt0/original-1765615419382.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1767098488111"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-4506e539-680b-4a98-bf36-6f5d4483c717,health-beauty/luminance-skincare-radiant-glow-hydrating-serum-50ml-068aef,VS-HEA-LUM-5115E0,Radiant Glow Hydrating Serum 50ml,Luminance Skincare,{health-beauty},,"A lightweight, deeply hydrating serum designed to give your skin a radiant glow.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-dskuajco/original-1765116053899.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436571324"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-5e71b5cd-3c62-4657-a3ac-9a4a2909d331,health-beauty/luminous-skin-revitalizing-night-cream--50ml-666fb7,VS-HEA-LUM-F0D93E,Revitalizing Night Cream - 50ml,Luminous Skin,{health-beauty},,"An ultra-nourishing night cream designed to rejuvenate skin while you sleep, providing deep hydration and reducing the appearance of fine lines.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-5s8vjvxl/original-1766436700970.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436571325"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-802bb3a0-1e3b-4bf4-b8a6-5024594ac258,live-animals/luna-&-rose-evelyn-silk-blouse-in-ivory--size-m-ded1e1,VS-LIV-LUN-266C65,Evelyn Silk Blouse in Ivory - Size M,Luna & Rose,{live-animals},,A luxurious silk blouse perfect for both day and night wear.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-ucgs9idl/products/iid-36jqttjo/original-1765615343657.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1767098488107"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
